"","split_1_rmsse","split_2_rmsse","split_3_rmsse","split_1_spl","split_2_spl","split_3_spl","average_RMSSE","average_SPL"
"hobbies",0.6066,1.1562,0.9126,0.146655555555556,0.3432,0.255211111111111,0.8918,0.248355555555556
"households",0.5044,0.4095,0.8263,0.133611111111111,0.100111111111111,0.254466666666667,0.580066666666667,0.16272962962963
"foods",0.0369,0.8807,0.1024,0.0636222222222222,0.263277777777778,0.0693222222222222,0.34,0.132074074074074
